"Name","Concatenate(Platform)","Min*(Year)","First(Genre)","First(Publisher)","Sum(NA_Sales)","Sum(EU_Sales)","Sum(JP_Sales)","Sum(Other_Sales)","Sum(Global_Sales)","YearCount"
"LEGO Star Wars III: The Clone Wars","Wii1, X360, PS3, NDS, 3DS, PSP, PC",2011,"Action","LucasArts",3.95,2.81,0,0.82,7.56,10
"LEGO Star Wars: The Complete Saga","Wii1, NDS, X360, PS3",2007,"Action","LucasArts",9.1,5.01,0,1.62,15.75,14
"LEGO Star Wars: The Video Game","PS2, GC, XB, GBA, PC",2005,"Action","Eidos Interactive",4.720000000000001,2.01,0.01,0.5199999999999999,7.259999999999999,16
"LEGO The Hobbit","PS4, PS3, X360, XOne, 3DS, WiiU, PSV, PC",2014,"Action","Warner Bros. Interactive Entertainment",0.79,1.48,0,0.36000000000000004,2.64,7
"LEGO The Lord of the Rings","X360, PS3, Wii1, 3DS, PSV, PC, NDS",2012,"Action","Warner Bros. Interactive Entertainment",1.87,2,0,0.55,4.43,9
"LMA Manager 2007","X360",2006,"Sports","Codemasters",0,0.01,0,0,0.01,15
"La Corda d'Oro 4","PSV",2016,"Action","Tecmo Koei",0,0,0.02,0,0.02,5
"La Pucelle: Ragnarok","PSP",2009,"Role-Playing","Nippon Ichi Software",0,0,0.03,0,0.03,12
"La Pucelle: Tactics","PS2",2002,"Role-Playing","Tecmo Koei",0.09,0.07,0,0.02,0.19,19
"Labyrinth Cross Blood: Infinity","PSV",2013,"Role-Playing","CyberFront",0,0,0.03,0,0.03,8
"Lady Sia","GBA",2001,"Platform","TDK Mediactive",0.08,0.03,0,0,0.11,20
"Lagoon","SNES",1991,"Role-Playing","Kemco",0,0,0.05,0,0.05,30
"Lair","PS3",2007,"Action","Sony Computer Entertainment",0.36,0.04,0.08,0.04,0.52,14
"Lalaloopsy","NDS",2011,"Simulation","Activision",0.54,0.1,0,0.06,0.7,10
"Land of the Dead: Road to Fiddler's Green","XB",2005,"Shooter","Groove Games",0.05,0.01,0,0,0.06,16
"Langrisser III","SAT",1996,"Strategy","NCS",0,0,0.2,0,0.2,25
"Langrisser IV","SAT",1997,"Strategy","NCS",0,0,0.11,0,0.11,24
"Langrisser V: The End of Legend","SAT",1998,"Strategy","NCS",0,0,0.09,0,0.09,23
"Langrisser: Re:Incarnation Tensei","3DS",2015,"Role-Playing","Extreme Entertainment Group",0.02,0,0.01,0,0.03,6
"Lara Croft Tomb Raider: The Angel of Darkness","PS2",2003,"Action","Eidos Interactive",0.61,0.48,0,0.16,1.25,18
"Lara Croft and the Temple of Osiris","PS4, PC",2014,"Action","Square Enix",0,0.09000000000000001,0,0.01,0.1,7
"Largo Winch .// Commando Sar","PSX",2002,"Adventure","Ubisoft",0.01,0.01,0,0,0.02,19
"Laser Blast","2600",1981,"Action","Activision",0.37,0.02,0,0,0.39,40
"Last Bronx","SAT",1996,"Fighting","Sega",0,0,0.13,0,0.13,25
"Last Escort","PS2",2006,"Adventure","D3Publisher",0,0,0.02,0,0.02,15
"Last Escort 2: Shinya no Amai Toge","PS2",2008,"Adventure","D3Publisher",0,0,0.03,0,0.03,13
"Last Escort: Club Katze","PSP, PS2",2010,"Adventure","D3Publisher",0,0,0.04,0,0.04,11
"Last Ranker","PSP",2010,"Role-Playing","Capcom",0,0,0.13,0,0.13,11
"Last Rebellion","PS3",2010,"Role-Playing","Nippon Ichi Software",0.06,0.01,0.01,0.01,0.09,11
"Last Window: The Secret of Cape West","NDS",2010,"Adventure","Nintendo",0,0.12,0.09,0.02,0.23,11
"Le Mans 24 Hours","PS2",2001,"Racing","Infogrames",0.09,0.07,0.02,0.02,0.2,20
"Learn Chess","NDS",2009,"Misc","DreamCatcher Interactive",0.1,0,0,0.01,0.1,12
"Learn Geography","NDS",2009,"Misc","DreamCatcher Interactive",0.07,0,0,0.01,0.08,12
"Learn Math","NDS",2009,"Puzzle","DreamCatcher Interactive",0.13,0,0,0.01,0.14,12
"Learn Science","NDS",2010,"Misc","DreamCatcher Interactive",0.05,0,0,0,0.05,11
"Learning to Spell","NDS",2010,"Misc","505 Games",0.16,0,0,0.01,0.17,11
"Left 4 Dead","X360, PC",2008,"Shooter","Electronic Arts",2.66,0.52,0.05,0.3,3.54,13
"Left 4 Dead 2","X360, PC",2009,"Shooter","Electronic Arts",2.67,1.21,0.05,0.41,4.36,12
"Left Brain Right Brain 2","NDS",2008,"Misc","Majesco Entertainment",0.12,0,0,0.01,0.13,13
"Left Brain Right Brain: Use Both Hands Train Both Sides","NDS",2007,"Misc","505 Games",0.15,0,0,0.01,0.16,14
"Legacy of Kain: Defiance","PS2, XB, PC",2003,"Action","Eidos Interactive",0.4,0.25,0,0.08,0.73,18
"Legaia 2: Duel Saga","PS2",2001,"Role-Playing","Eidos Interactive",0.13,0.1,0,0.03,0.26,20
"Legasista","PS3",2012,"Role-Playing","Nippon Ichi Software",0,0,0.04,0,0.04,9
"Legend of Kay","PS4, NDS, WiiU, PS2",2005,"Action","Nordic Games",0.14,0.07,0,0.02,0.21999999999999997,16
"Legend of Kay Anniversary","PS4, WiiU",2015,"Action","Nordic Games",0,0.03,0,0,0.03,6
"Legend of Legaia","PSX",1998,"Role-Playing","Sony Computer Entertainment",0.37,0.25,0,0.04,0.66,23
"Legend of Mana","PSX",1999,"Role-Playing","SquareSoft",0.18,0.13,0.73,0.07,1.11,22
"Legend of the Dragon","Wii1, PSP",2007,"Fighting","Game Factory",0.09,0,0,0,0.09,14
"Legend of the Guardians: The Owls of Ga'Hoole","NDS, Wii1, PS3, X360",2010,"Action","Warner Bros. Interactive Entertainment",0.34,0.05,0,0.04,0.43000000000000005,11
"Legend: Hand of God","PC",2007,"Role-Playing","DTP Entertainment",0,0.02,0,0,0.02,14
"Legendary","X360, PS3, PC",2008,"Shooter","Atari",0.16,0.19,0,0.05,0.41000000000000003,13
"Legends of Oz: Dorothy's Return","3DS",2014,"Puzzle","N/A",0,0.01,0,0,0.01,7
"Legends of WrestleMania","PS3, X360",2009,"Fighting","THQ",0.5,0.33,0,0.11000000000000001,0.9500000000000001,12
"Legends of Wrestling","PS2, XB, GC",2001,"Fighting","Acclaim Entertainment",0.57,0.35,0,0.1,1.03,20
"Legends of Wrestling II","PS2, XB, GC, GBA",2002,"Fighting","Acclaim Entertainment",0.38999999999999996,0.19999999999999998,0,0.04,0.6500000000000001,19
"Legion: The Legend of Excalibur","PS2",2002,"Action","Midway Games",0.11,0.09,0,0.03,0.22,19
"Lego Batman 3: Beyond Gotham","X360, PS4, PS3, PSV, WiiU, 3DS, XOne, PC",2014,"Action","Warner Bros. Interactive Entertainment",1.94,2.06,0,0.6000000000000001,4.579999999999999,7
"Lego Star Wars: The Force Awakens","PS4, XOne, PS3, X360, PSV, WiiU, 3DS",2016,"Action","Warner Bros. Interactive Entertainment",0.41000000000000003,0.6800000000000002,0,0.16,1.2600000000000002,5
"Legoland","PC",1999,"Action","LEGO Media",0,0.01,0,0,0.01,22
"Leisure Suit Larry: Box Office Bust","X360, PS3",2009,"Adventure","Codemasters",0.2,0.04,0,0.02,0.26,12
"Leisure Suit Larry: Magna Cum Laude","PS2, XB",2004,"Adventure","Vivendi Games",0.29000000000000004,0.17,0,0.05,0.51,17
"Lemmings","PSP",2006,"Puzzle","Sony Computer Entertainment",0.12,0.52,0,0.23,0.87,15
"Lemony Snicket's A Series of Unfortunate Events","PS2, GBA, GC, XB",2004,"Platform","Activision",0.9,0.42999999999999994,0,0.09999999999999999,1.44,17
"Lernerfolg Vorschule: Capt'n Sharky","NDS",2009,"Misc","Tivola",0,0.05,0,0.01,0.05,12
"Let's Cheer","X360",2011,"Misc","Take-Two Interactive",0.12,0,0,0.01,0.14,10
"Let's Dance with Mel B","PS3, Wii1, X360",2011,"Sports","Black Bean Games",0,0.06,0,0.01,0.08,10
"Let's Draw!","NDS",2008,"Misc","Ubisoft",0.24,0.23,0,0.06,0.54,13
"Let's Make a Soccer Team!","PS2",2006,"Sports","Sega",0,0,0.23,0,0.23,15
"Let's Paint","Wii1",2010,"Simulation","Zoo Games",0.07,0,0,0,0.07,11
"Let's Pilates!","NDS",2007,"Misc","Konami Digital Entertainment",0.02,0,0,0,0.02,14
"Let's Play Ballerina","NDS, Wii1",2010,"Sports","Deep Silver",0.15,0,0,0.01,0.17,11
"Let's Play Flight Attendant","NDS",2010,"Simulation","Deep Silver",0.02,0,0,0,0.02,11
"Let's Play Garden","NDS, Wii1",2010,"Simulation","Deep Silver",0.13,0,0,0.01,0.13,11
"Let's Ride! Dreamer","GBA",2005,"Adventure","DTP Entertainment",0.05,0.02,0,0,0.07,16
"Let's Ride! Friends Forever","NDS",2008,"Adventure","THQ",0.07,0,0,0,0.07,13
"Let's Ride! Silver Buckle Stables","PS2",2006,"Sports","THQ",0.05,0.04,0,0.01,0.09,15
"Let's Ride: Sunshine Stables","GBA",2005,"Sports","DTP Entertainment",0.12,0.04,0,0,0.16,16
"Let's Sing 2016","PS4",2015,"Action","FuRyu Corporation",0.02,0,0,0.01,0.03,6
"Let's TAP","Wii1",2008,"Misc","Sega",0.09,0.06,0.01,0.02,0.18,13
"Let's Yoga!","NDS",2007,"Misc","Konami Digital Entertainment",0,0,0.02,0,0.02,14
"Lethal Enforcers","SNES",1993,"Shooter","Konami Digital Entertainment",0,0,0.09,0,0.09,28
"Lethal Enforcers I & II","PSX",1996,"Shooter","Konami Digital Entertainment",0.02,0.01,0,0,0.03,25
"Lethal Skies Elite Pilot: Team SW","PS2",2001,"Simulation","Sammy Corporation",0.11,0.08,0,0.03,0.22,20
"Lethal Skies II","PS2",2003,"Simulation","Sammy Corporation",0.08,0.06,0,0.02,0.16,18
"Life is Strange","PS4, XOne, PC",2016,"Adventure","Square Enix",0.23000000000000004,0.19999999999999998,0.03,0.06999999999999999,0.52,5
"LifeSigns: Surgical Unit","NDS",2005,"Simulation","JoWood Productions",0.01,0.01,0,0,0.02,16
"Lifeline","PS2",2003,"Adventure","Sony Computer Entertainment",0.03,0.03,0,0.01,0.07,18
"Lightning Returns: Final Fantasy XIII","PS3, X360",2013,"Role-Playing","Square Enix",0.45999999999999996,0.32,0.46,0.13999999999999999,1.3900000000000001,8
"Lilie no Atelier: Salburg no Renkinjutsushi 3","PS2",2001,"Role-Playing","Gust",0,0,0.09,0,0.09,20
"Lilo & Stitch 2: Hämsterviel Havoc","GBA",2004,"Action","Disney Interactive Studios",0.27,0.1,0,0.01,0.38,17
"Lilpri DS: Hime-Chen! Apple Pink","NDS",2010,"Adventure","Sega",0,0,0.02,0,0.02,11
"Line Rider 2: Unbound","NDS, Wii1",2008,"Puzzle","Deep Silver",0.09000000000000001,0,0,0.01,0.1,13
"Link's Crossbow Training","Wii1",2007,"Shooter","Nintendo",3.06,1.18,0.29,0.46,5,14
"Links 2004","XB",2003,"Sports","Microsoft Game Studios",0.21,0.06,0,0.01,0.29,18
"Lionel Trains: On Track","NDS",2006,"Action","DSI Games",0.04,0,0,0,0.04,15
"Lips","X360",2008,"Misc","Microsoft Game Studios",0.12,0.56,0,0.1,0.78,13
"Lips: Deutsche Partyknaller","X360",2009,"Misc","Microsoft Game Studios",0,0.04,0,0.01,0.05,12
"Lips: I Love The 80s","X360",2010,"Misc","Microsoft Game Studios",0,0.12,0,0.02,0.14,11
"Lips: Number One Hits","X360",2009,"Misc","Microsoft Game Studios",0.15,0.35,0,0.07,0.56,12
"Lips: Party Classics","X360",2010,"Misc","Microsoft Game Studios",0.05,0.11,0,0.02,0.18,11
"Lise no Atelier: Ordre no Renkinjutsushi","NDS",2007,"Role-Playing","Gust",0,0,0.04,0,0.04,14
"Little Battlers eXperience W","PSP, 3DS, PSV",2012,"Role-Playing","Level 5",0,0,0.33,0,0.33,9
"Little Battlers eXperience: Baku Boost","3DS",2012,"Action","Nintendo",0,0,0.21,0,0.21,9
"Little Battlers eXperience: Wars","3DS",2013,"Strategy","Level 5",0,0,0.13,0,0.13,8
"Little Bears","NDS",2009,"Simulation","RTL",0.03,0,0,0,0.03,12
"Little Busters! Converted Edition","PS2, PSP, PSV",2009,"Adventure","Prototype",0,0,0.12,0,0.12,12
"Little Deviants","PSV",2011,"Platform","Sony Computer Entertainment",0.15,0.13,0,0.05,0.33,10
"Little King's Story","Wii1",2009,"Strategy","Rising Star Games",0.15,0.11,0.02,0.02,0.31,12
"Little League World Series Baseball 2008","Wii1, NDS",2008,"Sports","Activision",0.15,0,0,0.01,0.16,13
"Little League World Series Baseball 2009","Wii1, NDS",2009,"Sports","Activision",0.28,0,0,0.02,0.30000000000000004,12
"Little League World Series Baseball 2010","X360, PS3",2010,"Sports","Activision",0.16,0,0,0.02,0.18,11
"Little League World Series Baseball: Double Play","Wii1, NDS",2010,"Sports","Activision",0.16,0,0,0.02,0.16999999999999998,11
"Little Red Riding Hood's Zombie BBQ","NDS",2008,"Shooter","Destineer",0.03,0,0,0,0.04,13
"LittleBigPlanet","PS3, PSP",2008,"Platform","Sony Computer Entertainment",3.44,3.29,0.18000000000000002,1.5899999999999999,8.5,13
"LittleBigPlanet 2","PS3",2011,"Platform","Sony Computer Entertainment",1.82,1.07,0.06,0.47,3.42,10
"LittleBigPlanet 3","PS4, PS3",2014,"Platform","Sony Computer Entertainment",0.8400000000000001,1.35,0.02,0.39999999999999997,2.6100000000000003,7
"LittleBigPlanet Karting","PS3",2012,"Action","Sony Computer Entertainment",0.42,0.32,0.01,0.15,0.9,9
"LittleBigPlanet PS Vita","PSV",2012,"Platform","Sony Computer Entertainment",0.4,0.72,0.02,0.33,1.47,9
"Littlest Pet Shop","Wii1, PC",2008,"Simulation","Electronic Arts",0.34,0.06,0,0.03,0.43,13
"Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team","NDS",2010,"Simulation","Electronic Arts",0.5,0,0,0.03,0.53,11
"Littlest Pet Shop: Beach Friends","NDS",2009,"Simulation","Electronic Arts",0.25,0,0,0.02,0.27,12
"Littlest Pet Shop: City Friends","NDS",2009,"Simulation","Electronic Arts",0.29,0,0,0.02,0.32,12
"Littlest Pet Shop: Country Friends","NDS",2009,"Simulation","Electronic Arts",0.23,0,0,0.02,0.25,12
"Littlest Pet Shop: Friends","Wii1",2009,"Simulation","Electronic Arts",0.22,0.02,0,0.02,0.26,12
"Littlest Pet Shop: Garden","NDS",2008,"Simulation","Electronic Arts",0.31,0.24,0,0.06,0.61,13
"Littlest Pet Shop: Jungle","NDS",2008,"Simulation","Electronic Arts",0.34,0.2,0,0.06,0.61,13
"Littlest Pet Shop: Spring","NDS",2009,"Simulation","Electronic Arts",0.12,0,0,0.01,0.14,12
"Littlest Pet Shop: Winter","NDS",2008,"Simulation","Electronic Arts",0.59,0.31,0,0.1,0.99,13
"Live A Live","SNES",1994,"Role-Playing","SquareSoft",0,0,0.32,0,0.32,27
"Living Legends: Frozen Beauty","PC",2014,"Action","Big Fish Games",0,0.03,0,0,0.03,7
"Livly Garden","NDS",2010,"Simulation","Marvelous Interactive",0,0,0.02,0,0.02,11
"Lizzie McGuire 2: Lizzie Diaries","GBA",2004,"Action","Disney Interactive Studios",0.6,0.22,0,0.01,0.83,17
"Lizzie McGuire 3: Homecoming Havoc","GBA",2005,"Platform","Disney Interactive Studios",0.22,0.08,0,0.01,0.3,16
"Lock On: Modern Air Combat","PC",2003,"Simulation","Ubisoft",0,0.03,0,0.01,0.03,18
"Lock's Quest","NDS",2008,"Strategy","THQ",0.08,0,0,0.01,0.09,13
"LocoRoco","PSP",2006,"Platform","Sony Computer Entertainment",0.14,0.05,0.16,0.04,0.39,15
"LocoRoco 2","PSP",2008,"Platform","Sony Computer Entertainment",0.21,0.09,0.01,0.05,0.36,13
"Lode Runner","Famicom, NDS",1984,"Puzzle","Hudson Soft",0,0,1.12,0,1.12,37
"Lode Runner 3-D","N64",1998,"Action","Infogrames",0.08,0.02,0,0,0.1,23
"Logic Machines","NDS",2009,"Puzzle","City Interactive",0.04,0,0,0,0.04,12
"Lollipop Chainsaw","PS3, X360",2012,"Action","Warner Bros. Interactive Entertainment",0.5700000000000001,0.33999999999999997,0.13,0.13,1.1600000000000001,9
"London 2012: The Official Video Game of the Olympic Games","PS3, X360",2012,"Sports","Sega",0.13,0.96,0,0.22,1.29,9
"Looney Tunes Duck Dodgers Starring: Daffy Duck","N64",2000,"Platform","Infogrames",0.03,0.01,0,0,0.04,21
"Looney Tunes Racing","PSX",2000,"Racing","Infogrames",0.16,0.11,0,0.02,0.29,21
"Looney Tunes: Acme Arsenal","PS2, Wii1, X360",2007,"Action","Warner Bros. Interactive Entertainment",0.46,0.17,0,0.08,0.69,14
"Looney Tunes: Back in Action","PS2, GBA, GC",2003,"Platform","Warner Bros. Interactive Entertainment",0.51,0.27,0,0.06,0.85,18
"Looney Tunes: Cartoon Conductor","NDS",2008,"Misc","Eidos Interactive",0.04,0,0,0,0.05,13
"Looney Tunes: Duck Amuck","NDS",2007,"Action","Warner Bros. Interactive Entertainment",0.28,0,0,0.02,0.3,14
"Looney Tunes: Galactic Sports","PSV",2015,"Action","Sony Computer Entertainment",0,0.06,0,0.02,0.08,6
"Looney Tunes: Sheep Raider","PSX",2001,"Platform","Infogrames",0.07,0.05,0,0.01,0.12,20
"Looney Tunes: Space Race","PS2",2002,"Racing","Infogrames",0.1,0.08,0,0.03,0.2,19
"Loons: The Fight For Fame","XB",2002,"Action","Atari",0.05,0.02,0,0,0.07,19
"Lord of Apocalypse","PSV, PSP",2011,"Role-Playing","Square Enix",0,0,0.2,0,0.2,10
"Lord of Arcana","PSP",2010,"Role-Playing","Square Enix",0.07,0.04,0.17,0.03,0.31,11
"Lord of Darkness","SNES",1991,"Action","Tecmo Koei",0,0,0.28,0,0.28,30
"Lord of Magna: Maiden Heaven","3DS",2014,"Role-Playing","Marvelous Entertainment",0,0,0.06,0,0.06,7
"Lord of the Rings: Battle for Middle-Earth","X360",2006,"Strategy","Electronic Arts",0.28,0,0,0.02,0.31,15
"Lord of the Rings: Tactics","PSP",2005,"Strategy","Electronic Arts",0.11,0.02,0,0.02,0.14,16
"Lord of the Rings: The Third Age","XB",2004,"Role-Playing","Electronic Arts",0.31,0.09,0,0.01,0.42,17
"Lords of the Fallen","PS4, XOne, PC",2014,"Role-Playing","Square Enix",0.27,0.36,0.02,0.11,0.76,7
"Lost Dimension","PSV, PS3",2014,"Role-Playing","Nippon Ichi Software",0.12000000000000001,0.04,0.02,0.04,0.22000000000000003,7
"Lost Heroes","3DS, PSP",2012,"Role-Playing","Namco Bandai Games",0,0,0.16,0,0.16,9
"Lost Heroes 2","3DS",2015,"Action","Namco Bandai Games",0,0,0.07,0,0.07,6
"Lost Horizon","PC",2010,"Adventure","Deep Silver",0,0.1,0,0.02,0.12,11
"Lost Kingdoms","GC",2002,"Role-Playing","Activision",0.1,0.02,0.04,0,0.17,19
"Lost Kingdoms II","GC",2003,"Role-Playing","Activision",0.04,0.01,0,0,0.06,18
"Lost Magic","NDS",2006,"Role-Playing","Ubisoft",0.09,0,0.02,0.01,0.12,15
"Lost Odyssey","X360",2007,"Role-Playing","Microsoft Game Studios",0.45,0.27,0.11,0.09,0.92,14
"Lost Planet 2","PS3, X360, PC",2010,"Shooter","Capcom",0.6699999999999999,0.6000000000000001,0.28,0.2,1.75,11
"Lost Planet 3","PS3, X360, PC",2013,"Shooter","Capcom",0.14,0.13,0.06999999999999999,0.05,0.37999999999999995,8
"Lost Planet: Extreme Condition","X360, PS3",2006,"Shooter","Capcom",1.4000000000000001,0.21000000000000002,0.17,0.2,1.98,15
"Lost in Blue","NDS",2005,"Adventure","Konami Digital Entertainment",0.07,0.02,0.02,0.01,0.11,16
"Lost in Blue 2","NDS",2007,"Adventure","Konami Digital Entertainment",0.01,0.01,0.05,0,0.07,14
"Lost in Blue 3","NDS",2007,"Adventure","Konami Digital Entertainment",0.09,0.02,0.06,0.01,0.17,14
"Lost in Blue: Shipwrecked","Wii1",2008,"Adventure","Konami Digital Entertainment",0.07,0,0,0.01,0.08,13
"Lost in Shadow","Wii1",2010,"Platform","Konami Digital Entertainment",0.1,0,0.01,0.01,0.12,11
"Lost: Via Domus","X360, PS3, PC",2008,"Action","Ubisoft",0.37,0.5800000000000001,0,0.16,1.12,13
"Lotus Challenge","GC",2004,"Racing","Ignition Entertainment",0.01,0,0,0,0.02,17
"Love Live! School Idol Paradise","PSV",2014,"Misc","Kadokawa Games",0,0,0.12,0,0.12,7
"Love Plus","NDS",2009,"Simulation","Konami Digital Entertainment",0,0,0.26,0,0.26,12
"Love Plus +","NDS",2010,"Simulation","Konami Digital Entertainment",0,0,0.23,0,0.23,11
"Lovely Lisa","NDS",2007,"Simulation","DHM Interactive",0.11,0,0,0.01,0.12,14
"Lovely Lisa and Friends","NDS",2010,"Simulation","Tomy Corporation",0.12,0,0,0.01,0.13,11
"Lovely x Cation 1 & 2","PSV",2015,"Action","5pb",0,0,0.02,0,0.02,6
"Loving Life with Hello Kitty & Friends","NDS",2011,"Misc","Rising Star Games",0.15,0.08,0,0.02,0.26,10
"Lowrider","PS2",2002,"Misc","Pacific Century Cyber Works",0.11,0.09,0.03,0.03,0.26,19
"Lucha Libre AAA: Heroes del Ring","PS3, X360",2010,"Fighting","Konami Digital Entertainment",0.15000000000000002,0,0,0.01,0.15000000000000002,11
"Lucian Bee's: Justice Yellow / Evil Violet","PS2",2010,"Adventure","5pb",0,0,0.07,0,0.07,11
"Lucian Bee's: Resurrection Supernova","PS2",2009,"Adventure","5pb",0,0,0.01,0,0.01,12
"Lucky * Star: Ryouou Gakuen Outousai","PS2",2008,"Adventure","Kadokawa Shoten",0,0,0.1,0,0.1,13
"Lucky Luke","PSX",1998,"Platform","Ocean",0.13,0.09,0,0.02,0.24,23
"Lufia: Curse of the Sinistrals","NDS",2010,"Role-Playing","Square Enix",0.12,0,0.03,0.01,0.16,11
"Lufia: The Ruins of Lore","GBA",2002,"Role-Playing","Taito",0.04,0.01,0,0,0.05,19
"Luigi's Mansion","GC",2001,"Action","Nintendo",2.38,0.67,0.46,0.1,3.6,20
"Luigi's Mansion: Dark Moon","3DS",2013,"Action","Nintendo",1.78,1.39,1.1,0.3,4.58,8
"Lumines ll","PSP",2006,"Puzzle","Disney Interactive Studios",0.12,0.12,0,0.07,0.3,15
"Lumines: Electronic Symphony","PSV",2012,"Misc","Ubisoft",0.11,0.1,0.01,0.05,0.26,9
"Lumines: Puzzle Fusion","PSP",2004,"Puzzle","Ubisoft",0.52,0.35,0,0.23,1.11,17
"Luminous Arc","NDS",2007,"Role-Playing","Rising Star Games",0.16,0,0.06,0.01,0.24,14
"Luminous Arc 2","NDS",2008,"Role-Playing","Rising Star Games",0.21,0,0,0.02,0.23,13
"Luminous Arc 3","NDS",2009,"Role-Playing","Marvelous Interactive",0,0,0.04,0,0.04,12
"Luminous Arc Infinity","PSV",2015,"Action","Marvel Entertainment",0,0,0.05,0,0.05,6
"Lunacy","SAT",1996,"Adventure","Sega",0,0,0.11,0,0.11,25
"Lunar 2: Eternal Blue","SAT",1998,"Role-Playing","Kadokawa Shoten",0,0,0.12,0,0.12,23
"Lunar 2: Eternal Blue Complete","PSX",1999,"Role-Playing","Kadokawa Shoten",0.19,0.13,0,0.02,0.35,22
"Lunar 2: Eternal Blue(sales, but wrong system)","GEN",1994,"Role-Playing","Game Arts",0,0,0.14,0,0.14,27
"Lunar Knights","NDS",2006,"Role-Playing","Konami Digital Entertainment",0.17,0.01,0.04,0.02,0.24,15
"Lunar Legend","GBA",2002,"Role-Playing","Media Rings",0.14,0.05,0,0,0.19,19
"Lunar: Dragon Song","NDS",2005,"Role-Playing","Rising Star Games",0.11,0,0,0.01,0.12,16
"Lunar: Silver Star Harmony","PSP",2009,"Role-Playing","GungHo",0.19,0,0.03,0.02,0.24,12
"Lunar: Silver Star Story","SAT",1996,"Role-Playing","Kadokawa Shoten",0,0,0.23,0,0.23,25
"Lunar: Silver Star Story Complete","PSX, SAT",1997,"Role-Playing","Kadokawa Shoten",0.27,0.18,0.27,0.04,0.76,24
"Lunatic Dawn Tempest","PS2",2001,"Role-Playing","ArtDink",0,0,0.02,0,0.02,20
"Lupin III: Lupin ni wa Shi o, Zenigata ni wa Koi o","PS2",2007,"Adventure","505 Games",0,0,0.05,0,0.05,14
"Lupin Sansei: Shijou Saidai no Zunousen","NDS",2010,"Adventure","Namco Bandai Games",0,0,0.07,0,0.07,11
"Lupin the 3rd: Treasure of the Sorcerer King","PS2",2002,"Adventure","505 Games",0.02,0.02,0.25,0.01,0.29,19
"Lux-Pain","NDS",2008,"Adventure","Rising Star Games",0.04,0,0,0,0.05,13
"Lux-Pain (JP sales)","NDS",2008,"Adventure","Rising Star Games",0,0,0.03,0,0.03,13
"Luxor 3","Wii1",2008,"Puzzle","Mumbo Jumbo",0.16,0,0,0.01,0.17,13
"Luxor: Pharaoh's Challenge","NDS",2007,"Puzzle","Funsta",0,0.01,0,0,0.01,14
"Luxor: The Wrath of Set","PSP",2006,"Puzzle","Mumbo Jumbo",0.02,0,0,0,0.02,15
"M&M's Adventure","NDS",2008,"Adventure","Zoo Digital Publishing",0.04,0,0,0,0.05,13
"M&M's Beach Party","Wii1",2009,"Misc","Zoo Digital Publishing",0.04,0,0,0,0.04,12
"M&M's Kart Racing","Wii1, NDS",2007,"Racing","Zoo Digital Publishing",0.33,0,0,0.03,0.35,14
"M&Ms Shell Shocked","PSX",2001,"Action","Berkeley",0.02,0.01,0,0,0.03,20
"MAG: Massive Action Game","PS3",2010,"Shooter","Sony Computer Entertainment",0.77,0.3,0.09,0.16,1.32,11
"MAPLUS: Portable Navi","PSP",2006,"Misc","Edia",0,0,0.07,0,0.07,15
"MAPLUS: Portable Navi 3","PSP",2009,"Misc","Edia",0,0,0.02,0,0.02,12
"MC Groovz Dance Craze","GC",2004,"Misc","Mad Catz",0.15,0.04,0,0.01,0.2,17
"MDK","PSX",1997,"Shooter","Interplay",0.11,0.08,0,0.01,0.2,24
"MDK2 Armageddon","PS2",2001,"Shooter","Virgin Interactive",0.08,0.07,0,0.02,0.17,20
"MLB","PSP",2005,"Sports","Sony Computer Entertainment",0.23,0,0,0.02,0.24,16
"MLB 06: The Show","PS2, PSP",2006,"Sports","Sony Computer Entertainment",1.1,0.03,0,0.16,1.29,15
"MLB 07: The Show","PS2, PS3, PSP",2007,"Sports","Sony Computer Entertainment",1.32,0.03,0,0.16999999999999998,1.52,14
"MLB 08: The Show","PS3, PS2, PSP",2008,"Sports","Sony Computer Entertainment",1.29,0.01,0,0.13,1.45,13
"MLB 09: The Show","PS3, PS2, PSP",2009,"Sports","Sony Computer Entertainment",1.06,0.13,0,0.11,1.31,12
"MLB 10: The Show","PS3, PS2, PSP",2010,"Sports","Sony Computer Entertainment",1.05,0.16,0,0.12000000000000001,1.3199999999999998,11
"MLB 11: The Show","PS3, PSP, PS2",2011,"Sports","Sony Computer Entertainment",0.75,0.05,0,0.07,0.87,10
"MLB 12: The Show","PS3, PSV",2012,"Sports","Sony Computer Entertainment",1.04,0,0,0.08,1.12,9
"MLB 13: The Show","PS3, PSV",2013,"Sports","Sony Computer Entertainment",0.77,0,0,0.07,0.84,8
"MLB 14: The Show","PS4, PS3, PSV",2014,"Sports","Sony Computer Entertainment America",1.04,0,0,0.13,1.1800000000000002,7
"MLB 15: The Show","PS4, PS3, PSV",2015,"Sports","Sony Computer Entertainment",1,0.09,0,0.25,1.35,6
"MLB 16: The Show","PS4, PS3",2016,"Action","Sony Computer Entertainment",0.81,0,0,0.19,1,5
"MLB 2000","PSX",1999,"Sports","Sony Computer Entertainment",0.52,0.35,0,0.06,0.94,22
"MLB 2001","PSX",2000,"Sports","Sony Computer Entertainment",0.49,0.34,0,0.06,0.89,21
