"Name","Concatenate(Platform)","Min*(Year)","First(Genre)","First(Publisher)","Sum(NA_Sales)","Sum(EU_Sales)","Sum(JP_Sales)","Sum(Other_Sales)","Sum(Global_Sales)"
"Knockout Kings 2003","GC",2002,"Sports","Electronic Arts",0.12,0.03,0,0,0.15
"Know How 2","NDS",2010,"Puzzle","7G//AMES",0,0.01,0,0,0.01
"Kobe Bryant in NBA Courtside","N64",1998,"Sports","Nintendo",1.02,0.13,0.04,0.01,1.19
"Kobitodzukan: Kobito Kansatsu Set","3DS",2012,"Misc","Nippon Columbia",0,0,0.28,0,0.28
"Kobitodzukan: Kobito no Fushigi - Jikken Set","3DS",2013,"Misc","Nippon Columbia",0,0,0.08,0,0.08
"Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Machiteba Tengoku! Makereba Jigoku! Ryoutsuryuu Ikkakusenkin Daisakusen!","NDS",2010,"Misc","Namco Bandai Games",0,0,0.02,0,0.02
"Koi Sentai Love & Peace the P.S.P: Power Zenkai! Special Youso Tenkomori de Portable Ka Daisakusen de Aru!","PSP",2012,"Action","Broccoli",0,0,0.01,0,0.01
"Koi to Senkyo to Chocolate Portable","PSP",2012,"Adventure","Kadokawa Shoten",0,0,0.05,0,0.05
"Koihime Enbu","PS4",2016,"Fighting","Yeti",0,0,0.02,0,0.02
"Koihime Musou","PS2",2008,"Adventure","Yeti",0,0,0.05,0,0.05
"Koisuru Otome to Shugo no Tate Portable","PSP",2010,"Adventure","Alchemist",0,0,0.02,0,0.02
"Koisuru Otome to Shugo no Tate: The Shield of AIGIS","PS2",2008,"Adventure","Alchemist",0,0,0.02,0,0.02
"Kokoro Connect: Yochi Random","PSP",2012,"Action","Namco Bandai Games",0,0,0.02,0,0.02
"Kokoro no Kokoron","NDS",2011,"Misc","Namco Bandai Games",0,0,0.03,0,0.03
"Konami Arcade Classics","PSX",1999,"Misc","Konami Digital Entertainment",0.02,0.01,0,0,0.04
"Konami Classics Series: Arcade Hits","NDS",2007,"Misc","Konami Digital Entertainment",0.01,0,0.02,0,0.03
"Konami Classics Vol. 1","X360",2009,"Misc","Konami Digital Entertainment",0.08,0,0,0.01,0.08
"Konami Classics Vol. 2","X360",2009,"Misc","Konami Digital Entertainment",0.01,0,0,0,0.01
"Konami Collector's Series: Arcade Advanced","GBA",2002,"Misc","Konami Digital Entertainment",0.46,0.17,0,0.01,0.64
"Konami Krazy Racers","GBA",2001,"Racing","Konami Digital Entertainment",0.09,0.03,0.04,0,0.16
"Konductra","NDS",2006,"Puzzle","O3 Entertainment",0.02,0,0,0,0.02
"Kong: King of Atlantis","GBA",2005,"Action","THQ",0.02,0.01,0,0,0.03
"Kong: The 8th Wonder of the World","GBA",2005,"Action","Ubisoft",0.33,0.12,0,0.01,0.47
"Kong: The Animated Series","GBA",2002,"Action","BAM! Entertainment",0.01,0,0,0,0.02
"Konjiki no Gashbell!! Makai no Bookmark","GBA",2004,"Adventure","Banpresto",0,0,0.25,0.01,0.26
"Kono Aozora ni Yakusoku o: Melody of the Sun and Sea","PS2",2007,"Adventure","Alchemist",0,0,0.01,0,0.01
"Kono Aozora ni Yakusoku o: Tenohira no Rakuen","PSP",2009,"Adventure","TGL",0,0,0.01,0,0.01
"Konohana 2: Todoke Kanai Requiem","PS2",2002,"Adventure","Success",0,0,0.03,0,0.03
"Konpeki no Kantai","SNES",1995,"Strategy","Angel Studios",0,0,0.03,0,0.03
"Kororinpa: Marble Mania","Wii1",2006,"Puzzle","Nintendo",0.08,0.02,0.03,0.01,0.14
"Kotoba no Puzzle: Mojipittan DS","NDS",2007,"Puzzle","Namco Bandai Games",0,0,0.37,0,0.37
"Kotoba no Puzzle: Mojipittan Daijiten","PSP",2004,"Puzzle","Namco Bandai Games",0,0,0.11,0,0.11
"Kouchuu Ouja Mushi King","GBA",2005,"Action","Sega",0,0,0.7,0.02,0.72
"Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS","NDS",2005,"Action","Sega",0,0,0.19,0,0.19
"Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS 2","NDS",2006,"Action","Sega",0,0,0.13,0,0.13
"Kouchuu Ouja Mushi King: Super Collection","NDS",2007,"Action","Sega",0,0,0.11,0,0.11
"Koudelka","PSX",1999,"Role-Playing","Atari",0.05,0.03,0,0.01,0.08
"Kousoku Card Battle: Card Hero","NDS",2007,"Strategy","Nintendo",0,0,0.11,0,0.11
"Kowloon's Gate","PSX",1997,"Adventure","Sony Computer Entertainment",0,0,0.14,0.01,0.15
"Krazy Ivan","PSX",1995,"Simulation","Psygnosis",0.04,0.03,0,0,0.08
"Krull","2600",1982,"Action","Atari",0.13,0.01,0,0,0.14
"Kuma no Pooh-San: 100 Acre no Mori no Cooking Book","NDS",2011,"Misc","Disney Interactive Studios",0,0,0.02,0,0.02
"Kuma-Tomo","3DS",2013,"Misc","Namco Bandai Games",0,0,0.19,0,0.19
"Kumamon Bomber: Puzzle de Kumamon Taisou","GC",2005,"Puzzle","Sega",0.32,0.08,0,0.01,0.42
"Kung Fu","Famicom",1985,"Action","Nintendo",1.64,0.38,1.42,0.06,3.5
"Kung Fu Chaos","XB",2003,"Fighting","Microsoft Game Studios",0.21,0.06,0,0.01,0.28
"Kung Fu Panda","X360, NDS, Wii1, PS2, PS3, PC",2008,"Action","Activision",3.42,1.96,0,1.02,6.42
"Kung Fu Panda 2","X360, NDS, Wii1, PS3",2011,"Action","THQ",0.44,0.21000000000000002,0,0.07,0.72
"Kung Fu Panda: Legendary Warriors","Wii1, NDS",2008,"Action","Activision",0.09000000000000001,0,0,0,0.11
"Kung Fu Panda: Showdown of Legendary Legends","X360, PS3, 3DS",2015,"Action","Little Orbit",0,0.07,0,0,0.07
"Kung Fu Rider","PS3",2010,"Action","Sony Computer Entertainment",0.06,0.1,0.01,0.04,0.21
"Kung Zhu","NDS",2010,"Action","Activision",0.26,0,0,0.02,0.29
"Kung-Fu Master","2600",1987,"Action","Activision",0.6,0.04,0,0.01,0.65
"Kung-Fu: High Impact","X360",2011,"Action","Black Bean Games",0.08,0.06,0,0.01,0.15
"Kuon","PS2",2004,"Adventure","Indie Games",0.01,0.01,0,0,0.02
"Kurikin: Nano Island Story","NDS",2007,"Role-Playing","Nintendo",0,0,0.09,0,0.09
"Kurogane Kaikitan","PSV",2015,"Adventure","Minato Station",0,0,0.01,0,0.01
"Kurohyou 2: Ryu ga Gotoku Ashura Hen","PSP",2012,"Action","Sega",0,0,0.2,0,0.2
"Kurohyou: Ryu ga Gotoku Shinshou","PSP",2010,"Adventure","Sega",0,0,0.29,0,0.29
"Kuroko's Basketball: Miracle Game","PSP, 3DS",2012,"Sports","Namco Bandai Games",0,0,0.21000000000000002,0,0.21000000000000002
"Kuroko's Basketball: Ties to Future","3DS",2015,"Action","Namco Bandai Games",0,0,0.08,0,0.08
"Kuroshitsuji: Phantom & Ghost","NDS",2009,"Action","Square Enix",0,0,0.04,0,0.04
"Kurt Warner's Arena Football Unleashed","PSX",2000,"Sports","Midway Games",0.07,0.05,0,0.01,0.13
"KuruKuru Kururin","GBA",2001,"Puzzle","Nintendo",0,0,0.3,0.01,0.31
"Kurupoto Cool Cool Stars","NDS",2007,"Action","Starfish",0.06,0,0,0,0.06
"Kurushi Final: Mental Blocks","PSX",1998,"Puzzle","Sony Computer Entertainment",0,0,0.32,0.02,0.34
"Kuryuu Youma Gakuenki Recharge","PS2",2006,"Adventure","Atlus",0,0,0.03,0,0.03
"Kuukan * Zukei: Hirameki Training - KuuTore","NDS",2008,"Misc","Benesse",0,0,0.06,0,0.06
"Kuusen II","PS2",2004,"Simulation","Kadokawa Shoten",0,0,0.02,0,0.02
"Kya: Dark Lineage","PS2",2003,"Adventure","Atari",0.08,0.06,0,0.02,0.16
"Kyokugen Dasshutsu ADV: Zennin Shiboudesu","3DS, PSV",2012,"Adventure","ChunSoft",0,0,0.06,0,0.06
"Kyoukai Senjou no Horizon Portable","PSP",2013,"Adventure","Kadokawa Shoten",0,0,0.05,0,0.05
"L'Aigle de Guerre","GBA",2001,"Strategy","Nintendo",0,0,0.1,0,0.1
"L.A. Noire","PS3, X360",2011,"Adventure","Take-Two Interactive",2.79,2.27,0.13999999999999999,0.75,5.95
"L.A. Noire: The Complete Edition","PC",2011,"Adventure","Take-Two Interactive",0.08,0.13,0,0.04,0.25
"L.A. Rush","PS2, XB",2005,"Racing","Midway Games",0.34,0.21,0,0.06999999999999999,0.61
"L.G.S: Shinsetsu Houshinengi","PSP",2012,"Action","Idea Factory",0,0,0.02,0,0.02
"L: the proLogue to DEATH NOTE - Rasen no Wana","NDS",2008,"Adventure","Konami Digital Entertainment",0,0,0.09,0,0.09
"LEGO Batman 2: DC Super Heroes","X360, Wii1, PS3, NDS, 3DS, PSV, WiiU",2012,"Action","Warner Bros. Interactive Entertainment",3.4,2.31,0,0.6500000000000001,6.369999999999999
"LEGO Batman: The Videogame","X360, NDS, PS3, PS2, PC",2008,"Action","Warner Bros. Interactive Entertainment",5.279999999999999,2.5699999999999994,0,1.33,9.18
"LEGO Battles","NDS",2009,"Strategy","Warner Bros. Interactive Entertainment",0.81,0.38,0,0.12,1.31
"LEGO Battles: Ninjago","NDS",2011,"Strategy","Warner Bros. Interactive Entertainment",1.07,0.36,0,0.12,1.55
"LEGO Bionicle","GBA",2001,"Platform","LEGO Media",0.04,0.02,0,0,0.06
"LEGO City Undercover","3DS, WiiU",2013,"Platform","Nintendo",0.98,1.15,0.2,0.2,2.54
"LEGO Dimensions","PS4, X360, PS3, WiiU, XOne",2015,"Action","Warner Bros. Interactive Entertainment",1.1199999999999999,1.19,0,0.32000000000000006,2.62
"LEGO Friends","3DS",2013,"Action","Warner Bros. Interactive Entertainment",0,0.04,0,0,0.05
"LEGO Harry Potter: Years 1-4","Wii1, NDS, X360, PS3, PSP, PC",2010,"Action","Warner Bros. Interactive Entertainment",4.01,3.5,0,1.01,8.53
"LEGO Harry Potter: Years 5-7","PSV",2012,"Action","Warner Bros. Interactive Entertainment",0.09,0.1,0,0.05,0.24
"LEGO Indiana Jones 2: The Adventure Continues","Wii1, NDS, X360, PS3, PSP, PC",2009,"Action","Activision",2.89,1.7200000000000002,0,0.62,5.2299999999999995
"LEGO Indiana Jones: The Original Adventures","X360, NDS, PS2, PSP, PS3, PC",2008,"Action","Activision",5.28,2.6,0,1.81,9.66
"LEGO Island 2: The Brickster's Revenge","PSX",2001,"Adventure","LEGO Media",0.1,0.07,0,0.01,0.18
"LEGO Island Xtreme Stunts","GBA",2002,"Racing","LEGO Media",0.1,0.04,0,0,0.14
"LEGO Jurassic World","X360, PS3, PS4, XOne, 3DS, WiiU, PSV, PC",2015,"Action","Warner Bros. Interactive Entertainment",2.16,2.16,0.06,0.61,4.98
"LEGO Knights' Kingdom","GBA",2004,"Action","THQ",0.08,0.03,0,0,0.11
"LEGO Legends of Chima: Laval's Journey","3DS, PSV",2013,"Adventure","Warner Bros. Interactive Entertainment",0.19999999999999998,0.19,0,0.07,0.47
"LEGO Marvel Super Heroes","X360, PS3, PS4, XOne, 3DS, WiiU, PSV, NDS, PC",2013,"Action","Warner Bros. Interactive Entertainment",4.41,4.140000000000001,0.08,1.23,9.86
"LEGO Marvel's Avengers","PS4, X360, XOne, PS3, WiiU, PSV, 3DS",2016,"Action","Warner Bros. Interactive Entertainment",0.9600000000000002,0.9999999999999999,0.01,0.29000000000000004,2.2600000000000002
"LEGO Ninjago: Shadow of Ronin","PSV, 3DS",2015,"Action","Warner Bros. Interactive Entertainment",0.08,0.26,0.04,0.060000000000000005,0.44999999999999996
"LEGO Pirates of the Caribbean: The Video Game","Wii1, X360, PS3, NDS, 3DS, PSP, PC",2011,"Action","Disney Interactive Studios",2.45,2.52,0,0.67,5.65
"LEGO Racers","N64, PSX",1999,"Racing","LEGO Media",0.71,0.32,0,0.03,1.0699999999999998
"LEGO Racers 2","PS2",2001,"Racing","Electronic Arts",0.06,0.05,0,0.02,0.13
"LEGO Rock Band","Wii1, X360, NDS, PS3",2009,"Misc","Warner Bros. Interactive Entertainment",1.3900000000000001,0.5599999999999999,0,0.22,2.1599999999999997
"LEGO Rock Raiders","PSX",1999,"Strategy","LEGO Media",0.06,0.04,0,0.01,0.1
"LEGO Soccer Mania","PS2, GBA",2002,"Sports","Electronic Arts",0.1,0.05,0,0.01,0.16
"LEGO Star Wars II: The Original Trilogy","PS2, PSP, NDS, GC, X360, XB, GBA, PC",2006,"Action","LucasArts",5.08,1.55,0.01,0.6900000000000001,7.349999999999999
"LEGO Star Wars III: The Clone Wars","Wii1, X360, PS3, NDS, 3DS, PSP, PC",2011,"Action","LucasArts",3.95,2.81,0,0.82,7.56
"LEGO Star Wars: The Complete Saga","Wii1, NDS, X360, PS3",2007,"Action","LucasArts",9.1,5.01,0,1.62,15.75
"LEGO Star Wars: The Video Game","PS2, GC, XB, GBA, PC",2005,"Action","Eidos Interactive",4.720000000000001,2.01,0.01,0.5199999999999999,7.259999999999999
"LEGO The Hobbit","PS4, PS3, X360, XOne, 3DS, WiiU, PSV, PC",2014,"Action","Warner Bros. Interactive Entertainment",0.79,1.48,0,0.36000000000000004,2.64
"LEGO The Lord of the Rings","X360, PS3, Wii1, 3DS, PSV, PC, NDS",2012,"Action","Warner Bros. Interactive Entertainment",1.87,2,0,0.55,4.43
"LMA Manager 2007","X360",2006,"Sports","Codemasters",0,0.01,0,0,0.01
"La Corda d'Oro 4","PSV",2016,"Action","Tecmo Koei",0,0,0.02,0,0.02
"La Pucelle: Ragnarok","PSP",2009,"Role-Playing","Nippon Ichi Software",0,0,0.03,0,0.03
"La Pucelle: Tactics","PS2",2002,"Role-Playing","Tecmo Koei",0.09,0.07,0,0.02,0.19
"Labyrinth Cross Blood: Infinity","PSV",2013,"Role-Playing","CyberFront",0,0,0.03,0,0.03
"Lady Sia","GBA",2001,"Platform","TDK Mediactive",0.08,0.03,0,0,0.11
"Lagoon","SNES",1991,"Role-Playing","Kemco",0,0,0.05,0,0.05
"Lair","PS3",2007,"Action","Sony Computer Entertainment",0.36,0.04,0.08,0.04,0.52
"Lalaloopsy","NDS",2011,"Simulation","Activision",0.54,0.1,0,0.06,0.7
"Land of the Dead: Road to Fiddler's Green","XB",2005,"Shooter","Groove Games",0.05,0.01,0,0,0.06
"Langrisser III","SAT",1996,"Strategy","NCS",0,0,0.2,0,0.2
"Langrisser IV","SAT",1997,"Strategy","NCS",0,0,0.11,0,0.11
"Langrisser V: The End of Legend","SAT",1998,"Strategy","NCS",0,0,0.09,0,0.09
"Langrisser: Re:Incarnation Tensei","3DS",2015,"Role-Playing","Extreme Entertainment Group",0.02,0,0.01,0,0.03
"Lara Croft Tomb Raider: The Angel of Darkness","PS2",2003,"Action","Eidos Interactive",0.61,0.48,0,0.16,1.25
"Lara Croft and the Temple of Osiris","PS4, PC",2014,"Action","Square Enix",0,0.09000000000000001,0,0.01,0.1
"Largo Winch .// Commando Sar","PSX",2002,"Adventure","Ubisoft",0.01,0.01,0,0,0.02
"Laser Blast","2600",1981,"Action","Activision",0.37,0.02,0,0,0.39
"Last Bronx","SAT",1996,"Fighting","Sega",0,0,0.13,0,0.13
"Last Escort","PS2",2006,"Adventure","D3Publisher",0,0,0.02,0,0.02
"Last Escort 2: Shinya no Amai Toge","PS2",2008,"Adventure","D3Publisher",0,0,0.03,0,0.03
"Last Escort: Club Katze","PSP, PS2",2010,"Adventure","D3Publisher",0,0,0.04,0,0.04
"Last Ranker","PSP",2010,"Role-Playing","Capcom",0,0,0.13,0,0.13
"Last Rebellion","PS3",2010,"Role-Playing","Nippon Ichi Software",0.06,0.01,0.01,0.01,0.09
"Last Window: The Secret of Cape West","NDS",2010,"Adventure","Nintendo",0,0.12,0.09,0.02,0.23
"Le Mans 24 Hours","PS2",2001,"Racing","Infogrames",0.09,0.07,0.02,0.02,0.2
"Learn Chess","NDS",2009,"Misc","DreamCatcher Interactive",0.1,0,0,0.01,0.1
"Learn Geography","NDS",2009,"Misc","DreamCatcher Interactive",0.07,0,0,0.01,0.08
"Learn Math","NDS",2009,"Puzzle","DreamCatcher Interactive",0.13,0,0,0.01,0.14
"Learn Science","NDS",2010,"Misc","DreamCatcher Interactive",0.05,0,0,0,0.05
"Learning to Spell","NDS",2010,"Misc","505 Games",0.16,0,0,0.01,0.17
"Left 4 Dead","X360, PC",2008,"Shooter","Electronic Arts",2.66,0.52,0.05,0.3,3.54
"Left 4 Dead 2","X360, PC",2009,"Shooter","Electronic Arts",2.67,1.21,0.05,0.41,4.36
"Left Brain Right Brain 2","NDS",2008,"Misc","Majesco Entertainment",0.12,0,0,0.01,0.13
"Left Brain Right Brain: Use Both Hands Train Both Sides","NDS",2007,"Misc","505 Games",0.15,0,0,0.01,0.16
"Legacy of Kain: Defiance","PS2, XB, PC",2003,"Action","Eidos Interactive",0.4,0.25,0,0.08,0.73
"Legaia 2: Duel Saga","PS2",2001,"Role-Playing","Eidos Interactive",0.13,0.1,0,0.03,0.26
"Legasista","PS3",2012,"Role-Playing","Nippon Ichi Software",0,0,0.04,0,0.04
"Legend of Kay","PS4, NDS, WiiU, PS2",2005,"Action","Nordic Games",0.14,0.07,0,0.02,0.21999999999999997
"Legend of Kay Anniversary","PS4, WiiU",2015,"Action","Nordic Games",0,0.03,0,0,0.03
"Legend of Legaia","PSX",1998,"Role-Playing","Sony Computer Entertainment",0.37,0.25,0,0.04,0.66
"Legend of Mana","PSX",1999,"Role-Playing","SquareSoft",0.18,0.13,0.73,0.07,1.11
"Legend of the Dragon","Wii1, PSP",2007,"Fighting","Game Factory",0.09,0,0,0,0.09
"Legend of the Guardians: The Owls of Ga'Hoole","NDS, Wii1, PS3, X360",2010,"Action","Warner Bros. Interactive Entertainment",0.34,0.05,0,0.04,0.43000000000000005
"Legend: Hand of God","PC",2007,"Role-Playing","DTP Entertainment",0,0.02,0,0,0.02
"Legendary","X360, PS3, PC",2008,"Shooter","Atari",0.16,0.19,0,0.05,0.41000000000000003
"Legends of Oz: Dorothy's Return","3DS",2014,"Puzzle","N/A",0,0.01,0,0,0.01
"Legends of WrestleMania","PS3, X360",2009,"Fighting","THQ",0.5,0.33,0,0.11000000000000001,0.9500000000000001
"Legends of Wrestling","PS2, XB, GC",2001,"Fighting","Acclaim Entertainment",0.57,0.35,0,0.1,1.03
"Legends of Wrestling II","PS2, XB, GC, GBA",2002,"Fighting","Acclaim Entertainment",0.38999999999999996,0.19999999999999998,0,0.04,0.6500000000000001
"Legion: The Legend of Excalibur","PS2",2002,"Action","Midway Games",0.11,0.09,0,0.03,0.22
"Lego Batman 3: Beyond Gotham","X360, PS4, PS3, PSV, WiiU, 3DS, XOne, PC",2014,"Action","Warner Bros. Interactive Entertainment",1.94,2.06,0,0.6000000000000001,4.579999999999999
"Lego Star Wars: The Force Awakens","PS4, XOne, PS3, X360, PSV, WiiU, 3DS",2016,"Action","Warner Bros. Interactive Entertainment",0.41000000000000003,0.6800000000000002,0,0.16,1.2600000000000002
"Legoland","PC",1999,"Action","LEGO Media",0,0.01,0,0,0.01
"Leisure Suit Larry: Box Office Bust","X360, PS3",2009,"Adventure","Codemasters",0.2,0.04,0,0.02,0.26
"Leisure Suit Larry: Magna Cum Laude","PS2, XB",2004,"Adventure","Vivendi Games",0.29000000000000004,0.17,0,0.05,0.51
"Lemmings","PSP",2006,"Puzzle","Sony Computer Entertainment",0.12,0.52,0,0.23,0.87
"Lemony Snicket's A Series of Unfortunate Events","PS2, GBA, GC, XB",2004,"Platform","Activision",0.9,0.42999999999999994,0,0.09999999999999999,1.44
"Lernerfolg Vorschule: Capt'n Sharky","NDS",2009,"Misc","Tivola",0,0.05,0,0.01,0.05
"Let's Cheer","X360",2011,"Misc","Take-Two Interactive",0.12,0,0,0.01,0.14
"Let's Dance with Mel B","PS3, Wii1, X360",2011,"Sports","Black Bean Games",0,0.06,0,0.01,0.08
"Let's Draw!","NDS",2008,"Misc","Ubisoft",0.24,0.23,0,0.06,0.54
"Let's Make a Soccer Team!","PS2",2006,"Sports","Sega",0,0,0.23,0,0.23
"Let's Paint","Wii1",2010,"Simulation","Zoo Games",0.07,0,0,0,0.07
"Let's Pilates!","NDS",2007,"Misc","Konami Digital Entertainment",0.02,0,0,0,0.02
"Let's Play Ballerina","NDS, Wii1",2010,"Sports","Deep Silver",0.15,0,0,0.01,0.17
"Let's Play Flight Attendant","NDS",2010,"Simulation","Deep Silver",0.02,0,0,0,0.02
"Let's Play Garden","NDS, Wii1",2010,"Simulation","Deep Silver",0.13,0,0,0.01,0.13
"Let's Ride! Dreamer","GBA",2005,"Adventure","DTP Entertainment",0.05,0.02,0,0,0.07
"Let's Ride! Friends Forever","NDS",2008,"Adventure","THQ",0.07,0,0,0,0.07
"Let's Ride! Silver Buckle Stables","PS2",2006,"Sports","THQ",0.05,0.04,0,0.01,0.09
"Let's Ride: Sunshine Stables","GBA",2005,"Sports","DTP Entertainment",0.12,0.04,0,0,0.16
"Let's Sing 2016","PS4",2015,"Action","FuRyu Corporation",0.02,0,0,0.01,0.03
"Let's TAP","Wii1",2008,"Misc","Sega",0.09,0.06,0.01,0.02,0.18
"Let's Yoga!","NDS",2007,"Misc","Konami Digital Entertainment",0,0,0.02,0,0.02
"Lethal Enforcers","SNES",1993,"Shooter","Konami Digital Entertainment",0,0,0.09,0,0.09
"Lethal Enforcers I & II","PSX",1996,"Shooter","Konami Digital Entertainment",0.02,0.01,0,0,0.03
"Lethal Skies Elite Pilot: Team SW","PS2",2001,"Simulation","Sammy Corporation",0.11,0.08,0,0.03,0.22
"Lethal Skies II","PS2",2003,"Simulation","Sammy Corporation",0.08,0.06,0,0.02,0.16
"Life is Strange","PS4, XOne, PC",2016,"Adventure","Square Enix",0.23000000000000004,0.19999999999999998,0.03,0.06999999999999999,0.52
"LifeSigns: Surgical Unit","NDS",2005,"Simulation","JoWood Productions",0.01,0.01,0,0,0.02
"Lifeline","PS2",2003,"Adventure","Sony Computer Entertainment",0.03,0.03,0,0.01,0.07
"Lightning Returns: Final Fantasy XIII","PS3, X360",2013,"Role-Playing","Square Enix",0.45999999999999996,0.32,0.46,0.13999999999999999,1.3900000000000001
"Lilie no Atelier: Salburg no Renkinjutsushi 3","PS2",2001,"Role-Playing","Gust",0,0,0.09,0,0.09
"Lilo & Stitch 2: Hämsterviel Havoc","GBA",2004,"Action","Disney Interactive Studios",0.27,0.1,0,0.01,0.38
"Lilpri DS: Hime-Chen! Apple Pink","NDS",2010,"Adventure","Sega",0,0,0.02,0,0.02
"Line Rider 2: Unbound","NDS, Wii1",2008,"Puzzle","Deep Silver",0.09000000000000001,0,0,0.01,0.1
"Link's Crossbow Training","Wii1",2007,"Shooter","Nintendo",3.06,1.18,0.29,0.46,5
"Links 2004","XB",2003,"Sports","Microsoft Game Studios",0.21,0.06,0,0.01,0.29
"Lionel Trains: On Track","NDS",2006,"Action","DSI Games",0.04,0,0,0,0.04
"Lips","X360",2008,"Misc","Microsoft Game Studios",0.12,0.56,0,0.1,0.78
"Lips: Deutsche Partyknaller","X360",2009,"Misc","Microsoft Game Studios",0,0.04,0,0.01,0.05
"Lips: I Love The 80s","X360",2010,"Misc","Microsoft Game Studios",0,0.12,0,0.02,0.14
"Lips: Number One Hits","X360",2009,"Misc","Microsoft Game Studios",0.15,0.35,0,0.07,0.56
"Lips: Party Classics","X360",2010,"Misc","Microsoft Game Studios",0.05,0.11,0,0.02,0.18
"Lise no Atelier: Ordre no Renkinjutsushi","NDS",2007,"Role-Playing","Gust",0,0,0.04,0,0.04
"Little Battlers eXperience W","PSP, 3DS, PSV",2012,"Role-Playing","Level 5",0,0,0.33,0,0.33
"Little Battlers eXperience: Baku Boost","3DS",2012,"Action","Nintendo",0,0,0.21,0,0.21
"Little Battlers eXperience: Wars","3DS",2013,"Strategy","Level 5",0,0,0.13,0,0.13
"Little Bears","NDS",2009,"Simulation","RTL",0.03,0,0,0,0.03
"Little Busters! Converted Edition","PS2, PSP, PSV",2009,"Adventure","Prototype",0,0,0.12,0,0.12
"Little Deviants","PSV",2011,"Platform","Sony Computer Entertainment",0.15,0.13,0,0.05,0.33
"Little King's Story","Wii1",2009,"Strategy","Rising Star Games",0.15,0.11,0.02,0.02,0.31
"Little League World Series Baseball 2008","Wii1, NDS",2008,"Sports","Activision",0.15,0,0,0.01,0.16
"Little League World Series Baseball 2009","Wii1, NDS",2009,"Sports","Activision",0.28,0,0,0.02,0.30000000000000004
"Little League World Series Baseball 2010","X360, PS3",2010,"Sports","Activision",0.16,0,0,0.02,0.18
"Little League World Series Baseball: Double Play","Wii1, NDS",2010,"Sports","Activision",0.16,0,0,0.02,0.16999999999999998
"Little Red Riding Hood's Zombie BBQ","NDS",2008,"Shooter","Destineer",0.03,0,0,0,0.04
"LittleBigPlanet","PS3, PSP",2008,"Platform","Sony Computer Entertainment",3.44,3.29,0.18000000000000002,1.5899999999999999,8.5
"LittleBigPlanet 2","PS3",2011,"Platform","Sony Computer Entertainment",1.82,1.07,0.06,0.47,3.42
"LittleBigPlanet 3","PS4, PS3",2014,"Platform","Sony Computer Entertainment",0.8400000000000001,1.35,0.02,0.39999999999999997,2.6100000000000003
"LittleBigPlanet Karting","PS3",2012,"Action","Sony Computer Entertainment",0.42,0.32,0.01,0.15,0.9
"LittleBigPlanet PS Vita","PSV",2012,"Platform","Sony Computer Entertainment",0.4,0.72,0.02,0.33,1.47
"Littlest Pet Shop","Wii1, PC",2008,"Simulation","Electronic Arts",0.34,0.06,0,0.03,0.43
"Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team","NDS",2010,"Simulation","Electronic Arts",0.5,0,0,0.03,0.53
"Littlest Pet Shop: Beach Friends","NDS",2009,"Simulation","Electronic Arts",0.25,0,0,0.02,0.27
"Littlest Pet Shop: City Friends","NDS",2009,"Simulation","Electronic Arts",0.29,0,0,0.02,0.32
"Littlest Pet Shop: Country Friends","NDS",2009,"Simulation","Electronic Arts",0.23,0,0,0.02,0.25
"Littlest Pet Shop: Friends","Wii1",2009,"Simulation","Electronic Arts",0.22,0.02,0,0.02,0.26
"Littlest Pet Shop: Garden","NDS",2008,"Simulation","Electronic Arts",0.31,0.24,0,0.06,0.61
"Littlest Pet Shop: Jungle","NDS",2008,"Simulation","Electronic Arts",0.34,0.2,0,0.06,0.61
"Littlest Pet Shop: Spring","NDS",2009,"Simulation","Electronic Arts",0.12,0,0,0.01,0.14
"Littlest Pet Shop: Winter","NDS",2008,"Simulation","Electronic Arts",0.59,0.31,0,0.1,0.99
"Live A Live","SNES",1994,"Role-Playing","SquareSoft",0,0,0.32,0,0.32
"Living Legends: Frozen Beauty","PC",2014,"Action","Big Fish Games",0,0.03,0,0,0.03
"Livly Garden","NDS",2010,"Simulation","Marvelous Interactive",0,0,0.02,0,0.02
"Lizzie McGuire 2: Lizzie Diaries","GBA",2004,"Action","Disney Interactive Studios",0.6,0.22,0,0.01,0.83
"Lizzie McGuire 3: Homecoming Havoc","GBA",2005,"Platform","Disney Interactive Studios",0.22,0.08,0,0.01,0.3
"Lock On: Modern Air Combat","PC",2003,"Simulation","Ubisoft",0,0.03,0,0.01,0.03
"Lock's Quest","NDS",2008,"Strategy","THQ",0.08,0,0,0.01,0.09
"LocoRoco","PSP",2006,"Platform","Sony Computer Entertainment",0.14,0.05,0.16,0.04,0.39
"LocoRoco 2","PSP",2008,"Platform","Sony Computer Entertainment",0.21,0.09,0.01,0.05,0.36
"Lode Runner","Famicom, NDS",1984,"Puzzle","Hudson Soft",0,0,1.12,0,1.12
"Lode Runner 3-D","N64",1998,"Action","Infogrames",0.08,0.02,0,0,0.1
"Logic Machines","NDS",2009,"Puzzle","City Interactive",0.04,0,0,0,0.04
